Reading Airport file from airports.txt
There were 5738 Airports with IATA code
Reading Routes file from routes.txt
There were 68292 Routes with IATA code
2.61415127222e-05 Bartow Municipal Airport, United States
2.61415127222e-05 Sokerkino, Russia
2.61415127222e-05 Fitiuta Airport, American Samoa
2.61415127222e-05 Ofu Airport, American Samoa
2.61415127222e-05 MariposaYosemite, United States
2.61415127222e-05 Grootfontein, Namibia
2.61415127222e-05 Beppu Airport, Japan
2.61415127222e-05 Heron Island, Australia
2.61415127222e-05 Lady Elliot Island, Australia
2.61415127222e-05 Paddington Station, United Kingdom
2.61415127222e-05 Santa Monica Municipal Airport, United States
2.61415127222e-05 Scottsdale Airport, United States
2.61415127222e-05 Olympia Regional Airpor, United States
2.61415127222e-05 Yolo County Airport, United States
2.61415127222e-05 Monroe County Airport, United States
2.61415127222e-05 Witham Field Airport, United States
2.61415127222e-05 Pahokee Airport, United States
2.61415127222e-05 Nezhitino, Russia
2.61415127222e-05 San Bernardino International Airport, United States
2.61415127222e-05 Dix Sept Rosado Airport, Brazil
2.61415127222e-05 Caruaru Airport, Brazil
2.61415127222e-05 Aeroclube de Nova Iguacu, Brazil
2.61415127222e-05 Gare du Nord, France
2.61415127222e-05 San Carlos Airport, United States
2.61415127222e-05 Koszalin - Zegrze Pomorskie Airport, Poland
2.61415127222e-05 Lelystad Airport, Netherlands
2.61415127222e-05 Mammy Yoko Heliport, Sierra Leone
2.61415127222e-05 Phan Rang Airport, Vietnam
2.61415127222e-05 Na-San Airport, Vietnam
2.61415127222e-05 Truckee-Tahoe Airport, United States
2.61415127222e-05 Frejus Saint Raphael, France
2.61415127222e-05 Moultrie Municipal Airport, United States
2.61415127222e-05 Oneonta Municipal Airport, United States
2.61415127222e-05 Dell Flight Strip, United States
2.61415127222e-05 Mission Field Airport, United States
2.61415127222e-05 Big Timber Airport, United States
2.61415127222e-05 Hernesaari Heliport, Finland
2.61415127222e-05 Lakeland Linder Regional Airport, United States
2.61415127222e-05 Syangboche, Nepal
2.61415127222e-05 French Valley Airport, United States
2.61415127222e-05 Erie-Ottawa Regional Airport, United States
2.61415127222e-05 Richmond Municipal Airport, United States
2.61415127222e-05 Findlay Airport, United States
2.61415127222e-05 Penneshaw Airport, Australia
2.61415127222e-05 Munich HBF, Germany
2.61415127222e-05 Ebenhofen BF, Germany
2.61415127222e-05 Augsburg HBF, Germany
2.61415127222e-05 Simbai, Papua New Guinea
2.61415127222e-05 Ambunti, Papua New Guinea
2.61415127222e-05 Bembridge, United Kingdom
2.61415127222e-05 Black Hills Airport-Clyde Ice Field, United States
2.61415127222e-05 Knokke-Heist Westkapelle Heliport, Belgium
2.61415127222e-05 Gdynia, Poland
2.61415127222e-05 Olive Branch Muni, United States
2.61415127222e-05 Zonguldak, Turkey
2.61415127222e-05 Rocky Mountain Metropolitan Airport, United States
2.61415127222e-05 McNary Field, United States
2.61415127222e-05 Tunica Municipal Airport, United States
2.61415127222e-05 Kasaba Bay Airport, Zambia
2.61415127222e-05 Lindau HBF, Germany
2.61415127222e-05 Guardiamarina Zanartu Airport, Chile
2.61415127222e-05 Volkel AB, Netherlands
2.61415127222e-05 Lawrence J Timmerman Airport, United States
2.61415127222e-05 Southern Wisconsin Regional Airport, United States
2.61415127222e-05 Hatfield, United Kingdom
2.61415127222e-05 Arlington Municipal, United States
2.61415127222e-05 Bowling Green-Warren County Regional Airport, United States
2.61415127222e-05 Richard Lloyd Jones Jr Airport, United States
2.61415127222e-05 Krymsk, Russia
2.61415127222e-05 Minhad HB, United Arab Emirates
2.61415127222e-05 Kirovograd, Ukraine
2.61415127222e-05 Heidelberg, Germany
2.61415127222e-05 Chkalovsky Airport, Russia
2.61415127222e-05 Berlin Brandenburg Willy Brandt, Germany
2.61415127222e-05 New Century AirCenter Airport, United States
2.61415127222e-05 Easton-Newnam Field Airport, United States
2.61415127222e-05 Ferry County Airport, United States
2.61415127222e-05 Stockholm Cruise Port, Sweden
2.61415127222e-05 Halliburton Field Airport, United States
2.61415127222e-05 Chinle Municipal Airport, United States
2.61415127222e-05 Garner Field, United States
2.61415127222e-05 Lewis University Airport, United States
2.61415127222e-05 Buchanan Field Airport, United States
2.61415127222e-05 Key Largo, United States
2.61415127222e-05 El Porvenir, Panama
2.61415127222e-05 Lahr Airport, Germany
2.61415127222e-05 Springfield-Beckly Municipal Airport, United States
2.61415127222e-05 Jabiru, Australia
2.61415127222e-05 Regensburg HBF, Germany
2.61415127222e-05 Miami Seaplane Base, United States
2.61415127222e-05 Emporia Municipal Airport, United States
2.61415127222e-05 Wurzburg HBF, Germany
2.61415127222e-05 Collin County Regional Airport at Mc Kinney, United States
2.61415127222e-05 Chicago Executive, United States
2.61415127222e-05 Kelso Longview, United States
2.61415127222e-05 Put-in-Bay Airport, United States
2.61415127222e-05 Jefferson County Intl, United States
2.61415127222e-05 Kerch Intl, Ukraine
2.61415127222e-05 Train Station, Canada
2.61415127222e-05 Train Station, Canada
2.61415127222e-05 Sentral, Malaysia
2.61415127222e-05 Wilmington Airborne Airpark, United States
2.61415127222e-05 Gila Bend Municipal Airport, United States
2.61415127222e-05 McMinn Co, United States
2.61415127222e-05 Sterling Municipal Airport, United States
2.61415127222e-05 Rawlins Municipal Airport-Harvey Field, United States
2.61415127222e-05 Caldwell Essex County Airport, United States
2.61415127222e-05 Lee C Fine Memorial Airport, United States
2.61415127222e-05 Big Bear City, United States
2.61415127222e-05 KIEV  INTERNATIONAL AIRPORT, Ukraine
2.61415127222e-05 Bamberg BF, Germany
2.61415127222e-05 Ingolstadt BF, Germany
2.61415127222e-05 Henry Tift Myers Airport, United States
2.61415127222e-05 Frankfurt-Main Hauptbahnhof, Germany
2.61415127222e-05 Praha hlavni nadrazi, Czech Republic
2.61415127222e-05 St Pancras Railway Station, United Kingdom
2.61415127222e-05 Ulusaba Airstrip, Namibia
2.61415127222e-05 Golden Airport, Canada
2.61415127222e-05 Revelstoke Airport, Canada
2.61415127222e-05 Tula, Russia
2.61415127222e-05 McKinley National Park Airport, United States
2.61415127222e-05 Lake Hood Seaplane Base, United States
2.61415127222e-05 Prospect Creek Airport, United States
2.61415127222e-05 Taichung Airport, Taiwan
2.61415127222e-05 Columbia County, United States
2.61415127222e-05 Wheeling Ohio County Airport, United States
2.61415127222e-05 Fitzgerald Municipal Airport, United States
2.61415127222e-05 Samsun , Turkey
2.61415127222e-05 Kingston Train Station, Canada
2.61415127222e-05 Dorval Railway Station, Canada
2.61415127222e-05 Dubai Al Maktoum, United Arab Emirates
2.61415127222e-05 Bandanaira Airport, Indonesia
2.61415127222e-05 Meribel Airport, France
2.61415127222e-05 Mokuti Lodge Airport, Namibia
2.61415127222e-05 St. Peter-Ording Airport, Germany
2.61415127222e-05 Portland Hillsboro, United States
2.61415127222e-05 Suwannee County Airport, United States
2.61415127222e-05 Sharona, Afghanistan
2.61415127222e-05 Pembroke Airport, Canada
2.61415127222e-05 Tsumeb Airport, Namibia
2.61415127222e-05 Suffield Heliport, Canada
2.61415127222e-05 Aeroporto Blumenau, Brazil
2.61415127222e-05 Aeroclub Sibiu, Romania
2.61415127222e-05 Quincy Municipal Airport, United States
2.61415127222e-05 Blakely Island Airport, United States
2.61415127222e-05 Westsound Seaplane Base, United States
2.61415127222e-05 Cornwall Regional Airport, Canada
2.61415127222e-05 MOW, Russia
2.61415127222e-05 Westerly State Airport, United States
2.61415127222e-05 Block Island State Airport, United States
2.61415127222e-05 Atmautluak Airport, United States
2.61415127222e-05 Mulatupo Airport, Panama
2.61415127222e-05 Angers St Laud, France
2.61415127222e-05 Decatur County Industrial Air Park, United States
2.61415127222e-05 Black Tickle Airport, Canada
2.61415127222e-05 Silver Springs Airport, United States
2.61415127222e-05 Whiteman Airport, United States
2.61415127222e-05 Madera Municipal Airport, United States
2.61415127222e-05 Hector Silva Airstrip, Belize
2.61415127222e-05 Maripasoula Airport, French Guiana
2.61415127222e-05 Capurgana Airport, Colombia
2.61415127222e-05 Sao Felix do Xingu Airport, Brazil
2.61415127222e-05 Concordia Airport, Brazil
2.61415127222e-05 Diamantina Airport, Brazil
2.61415127222e-05 Una-Comandatuba Airport, Brazil
2.61415127222e-05 Telfer Airport, Australia
2.61415127222e-05 St. Augustine Airport, United States
2.61415127222e-05 Londolozi, South Africa
2.61415127222e-05 Singita Sabi Sands, South Africa
2.61415127222e-05 Douglas Municipal Airport, United States
2.61415127222e-05 Alexandria, United States
2.61415127222e-05 Taunton Municipal Airport - King Field, United States
2.61415127222e-05 Mansfield Municipal, United States
2.61415127222e-05 Barnes Municipal, United States
2.61415127222e-05 Windham Airport, United States
2.61415127222e-05 Orange County Airport, United States
2.61415127222e-05 Danbury Municipal Airport, United States
2.61415127222e-05 Boire Field Airport, United States
2.61415127222e-05 Lawrence Municipal Airport, United States
2.61415127222e-05 Fitchburg Municipal Airport, United States
2.61415127222e-05 Northeast Alabama Regional Airport, United States
2.61415127222e-05 Knoxville Downtown Island Airport, United States
2.61415127222e-05 Barrow County Airport, United States
2.61415127222e-05 Plantation Airpark, United States
2.61415127222e-05 Dalton Municipal Airport, United States
2.61415127222e-05 West Georgia Regional Airport - O V Gray Field, United States
2.61415127222e-05 Isbell Field Airport, United States
2.61415127222e-05 LaGrange-Callaway Airport, United States
2.61415127222e-05 Baldwin County Airport, United States
2.61415127222e-05 Harris County Airport, United States
2.61415127222e-05 Atlanta Regional Airport - Falcon Field, United States
2.61415127222e-05 Covington Municipal Airport, United States
2.61415127222e-05 Lee Gilmer Memorial Airport, United States
2.61415127222e-05 DeFuniak Springs Airport, United States
2.61415127222e-05 Harry Clever Field Airport, United States
2.61415127222e-05 Darlington County Jetport, United States
2.61415127222e-05 Hilton Head Airport, United States
2.61415127222e-05 Gilmer County Airport, United States
2.61415127222e-05 Elizabethton Municipal Airport, United States
2.61415127222e-05 Moton Field Municipal Airport, United States
2.61415127222e-05 Daniel Field Airport, United States
2.61415127222e-05 Foothills Regional Airport, United States
2.61415127222e-05 Pike County Airport - Hatcher Field, United States
2.61415127222e-05 Toccoa RG Letourneau Field Airport, United States
2.61415127222e-05 Wau Airport, Sudan
2.61415127222e-05 Moyale Airport, Kenya
2.61415127222e-05 Yengema Airport, Sierra Leone
2.61415127222e-05 Tampa Executive Airport, United States
2.61415127222e-05 East Troy Municipal Airport, United States
2.61415127222e-05 Montgomery Field, United States
2.61415127222e-05 Gimpo International Airpot, South Korea
2.61415127222e-05 Marathon, Canada
2.61415127222e-05 Rene Fontaine, Canada
2.61415127222e-05 Brantford, Canada
2.61415127222e-05 Lawrence Municipal, United States
2.61415127222e-05 Griffin-Spalding County Airport, United States
2.61415127222e-05 Pompano Beach Airpark, United States
2.61415127222e-05 Shelby County Airport, United States
2.61415127222e-05 Yuendumu , Australia
2.61415127222e-05 Gare de Strasbourg, France
2.61415127222e-05 Guangzhou South Railway Station, China
2.61415127222e-05 Marmul, Oman
2.61415127222e-05 South Cariboo Regional Airport, Canada
2.61415127222e-05 Fredericksburg Amtrak Station, United States
2.61415127222e-05 Warsaw Modlin, Poland
2.61415127222e-05 John H. Batten Airport, United States
2.61415127222e-05 Taytay Sandoval, Philippines
2.61415127222e-05 Otaru, Japan
2.61415127222e-05 Redlands Municipal Airport, United States
2.61415127222e-05 Flabob Airport, United States
2.61415127222e-05 Tacoma Narrows Airport, United States
2.61415127222e-05 Tampa North Aero Park, United States
2.61415127222e-05 Jack Edwards Airport, United States
2.61415127222e-05 Vieste Heliport, Italy
2.61415127222e-05 Khmeinitskiy, Ukraine
2.61415127222e-05 Hazleton Municipal, United States
2.61415127222e-05 Greater Cumberland Rgnl., United States
2.61415127222e-05 Bob Quinn Lake, Canada
2.61415127222e-05 Fox Glacier Airstrip, New Zealand
2.61415127222e-05 Grabtsevo, Russia
2.61415127222e-05 Central Station, Sweden
2.61415127222e-05 Central Station, Sweden
2.61415127222e-05 Centraal, Netherlands
2.61415127222e-05 Holesovice, Czech Republic
2.61415127222e-05 Hauptbahnhof, Germany
2.61415127222e-05 Hauptbahnhof, Austria
2.61415127222e-05 Ellisras, South Africa
2.61415127222e-05 Tri-County Regional Airport, United States
2.61415127222e-05 Regional Airport, United States
2.61415127222e-05 Reynolds Field, United States
2.61415127222e-05 Wings Field, United States
2.61415127222e-05 County, United States
2.61415127222e-05 Regional - Hendricks AAF, United States
2.61415127222e-05 Executive, United States
2.61415127222e-05 Gilbert Airport, United States
2.61415127222e-05 Municipal Airport, United States
2.61415127222e-05 International Airport, United States
2.61415127222e-05 Jesup-Wayne County Airport, United States
2.61415127222e-05 Coweta County Airport, United States
2.61415127222e-05 McDuffie County Airport, United States
2.61415127222e-05 Woodward Field, United States
2.61415127222e-05 Municipal Airport, United States
2.61415127222e-05 Moore County Airport, United States
2.61415127222e-05 Richmond County Airport, United States
2.61415127222e-05 Richland Airport, United States
2.61415127222e-05 Baraboo Wisconsin Dells Airport, United States
2.61415127222e-05 Foster Field, United States
2.61415127222e-05 Regional Airport, United States
2.61415127222e-05 Sylvania Airport, United States
2.61415127222e-05 Municipal Airport, United States
2.61415127222e-05 Spring Hill Airport, United States
2.61415127222e-05 William T. Piper Mem., United States
2.61415127222e-05 Lansdowne Airport, United States
2.61415127222e-05 Wadsworth Municipal, United States
2.61415127222e-05 Ashland County Airport, United States
2.61415127222e-05 Pittsburgh-Monroeville Airport, United States
2.61415127222e-05 Braceville Airport, United States
2.61415127222e-05 Trenton-Robbinsville Airport, United States
2.61415127222e-05 South Jersey Regional Airport, United States
2.61415127222e-05 Spitfire Aerodrome, United States
2.61415127222e-05 Morgantown Airport, United States
2.61415127222e-05 Harford County Airport, United States
2.61415127222e-05 Tri-State Steuben County Airport, United States
2.61415127222e-05 Van Wert County Airport, United States
2.61415127222e-05 Port Bucyrus-Crawford County Airport, United States
2.61415127222e-05 Lake Wales Municipal Airport, United States
2.61415127222e-05 Stormville Airport, United States
2.61415127222e-05 Williams County Airport, United States
2.61415127222e-05 South Lakeland Airport, United States
2.61415127222e-05 Scatsta Airport, United Kingdom
2.61415127222e-05 Gare de LEst, France
2.61415127222e-05 Ostbahnhof, Germany
2.61415127222e-05 All Airports, United Kingdom
2.61415127222e-05 All Airports, United States
2.61415127222e-05 All Airports, United States
2.61415127222e-05 Meigs Field, United States
2.61415127222e-05 All Airports, Japan
2.61415127222e-05 All Airports, China
2.61415127222e-05 All Airports, Canada
2.61415127222e-05 All Airports, Canada
2.61415127222e-05 Pickens County Airport, United States
2.61415127222e-05 Gesundbrunnen, Germany
2.61415127222e-05 Lansing Municipal, United States
2.61415127222e-05 Ramona Airport, United States
2.61415127222e-05 Buochs Airport, Switzerland
2.61415127222e-05 Branch County Memorial Airport, United States
2.61415127222e-05 Lost Nation Municipal Airport, United States
2.61415127222e-05 Florence, United States
2.61415127222e-05 Martin Campbell Field Airport, United States
2.61415127222e-05 Naval Air Station, United States
2.61415127222e-05 Marco Islands, United States
2.61415127222e-05 Drummond Island Airport, United States
2.61415127222e-05 Garland Airport, United States
2.61415127222e-05 Gladwin Zettel Memorial Airport, United States
2.61415127222e-05 South Haven Area Regional Airport, United States
2.61415127222e-05 Schaumburg Regional, United States
2.61415127222e-05 Marshfield Municipal Airport, United States
2.61415127222e-05 Alexander Field South Wood County Airport, United States
2.61415127222e-05 Beverly Municipal Airport, United States
2.61415127222e-05 Poplar Bluff Municipal Airport, United States
2.61415127222e-05 Keokuk Municipal Airport, United States
2.61415127222e-05 Perth Scone Airport, United Kingdom
2.61415127222e-05 Soderhamn Airport, Sweden
2.61415127222e-05 Saravane Airport, Laos
2.61415127222e-05 Bagdad Airport, United States
2.61415127222e-05 Bantry Aerodrome, Ireland
2.61415127222e-05 Reeroe Airport, Ireland
2.61415127222e-05 Kent State Airport, United States
2.61415127222e-05 Garissa, Kenya
2.61415127222e-05 Kalokol, Kenya
2.61415127222e-05 Kericho, Kenya
2.61415127222e-05 Kilaguni, Kenya
2.61415127222e-05 Andavadoaka, Madagascar
2.61415127222e-05 Atlantic City Rail Terminal, United States
2.61415127222e-05 Springfield Amtrak Station, United States
2.61415127222e-05 Amherst Amtrak Station AMM, United States
2.61415127222e-05 London - Kings Cross, United Kingdom
2.61415127222e-05 Stevenage Railway Station, United Kingdom
2.61415127222e-05 Whittlesford Parkway Rail Station, United Kingdom
2.61415127222e-05 Fond Du Lac County Airport, United States
2.61415127222e-05 Waupaca Municipal Airport, United States
2.61415127222e-05 Stevens Point Municipal Airport, United States
2.61415127222e-05 Luce County Airport, United States
2.61415127222e-05 Forest Lake Airport, United States
2.61415127222e-05 Hannover Messe-Heliport, Germany
2.61415127222e-05 Liege-Guillemins Railway Station, Belgium
2.61415127222e-05 Chester County G O Carlson Airport, United States
2.61415127222e-05 Bost Airport, Afghanistan
2.61415127222e-05 Lake Placid Airport, United States
